DATETIME,CO2,VOC,HUMI,TEMP,PM1,PM25,PM10,Radon,CH2O
2022-08-17 13:15,764,0,55,24,14,16,19,,
2022-08-17 13:30,759,0,56,24,16,17,20,,
2022-08-17 13:45,735,0,56,24,16,18,21,,
2022-08-17 14:00,751,1,55,24,16,17,18,,
2022-08-17 14:15,769,1,59,24,14,15,16,,
2022-08-17 14:30,782,0,58,25,13,15,17,,
2022-08-17 14:45,773,0,55,24,14,15,17,,
2022-08-17 15:00,769,0,58,24,15,16,17,,
2022-08-17 15:15,783,0,55,25,18,20,23,,
2022-08-17 15:30,813,0,54,25,19,20,22,,
2022-08-17 15:45,789,0,51,25,21,21,23,,
2022-08-17 16:00,754,0,50,25,22,23,24,,
2022-08-17 16:15,728,0,49,25,24,24,25,,
2022-08-17 16:30,711,2,50,25,40,41,44,,
2022-08-17 16:45,704,0,49,25,50,52,54,,
2022-08-17 17:00,698,0,52,26,44,45,48,,
2022-08-17 17:15,687,0,50,26,45,46,48,,
2022-08-17 17:30,699,0,50,26,42,44,46,,
2022-08-17 17:45,704,0,48,25,43,44,46,,
2022-08-17 18:00,700,0,48,26,33,34,37,,
2022-08-17 18:15,679,0,48,26,28,31,34,,
2022-08-17 18:30,642,0,48,26,25,25,27,,
2022-08-17 18:45,610,0,47,25,22,23,24,,
2022-08-17 19:00,582,0,48,26,20,21,22,,
2022-08-17 19:15,579,0,48,27,19,20,21,,
2022-08-17 19:30,574,0,48,27,18,18,19,,
2022-08-17 19:45,565,0,49,27,17,18,19,,
2022-08-17 20:00,558,0,50,27,16,16,17,,
2022-08-17 20:15,554,0,50,27,15,16,17,,
2022-08-17 20:30,549,0,50,27,14,14,15,,
2022-08-17 20:45,540,0,51,27,13,14,15,,
2022-08-17 21:00,533,0,51,27,13,13,14,,
2022-08-17 21:15,528,0,52,27,12,12,13,,
2022-08-17 21:30,518,0,52,27,11,11,12,,
2022-08-17 21:45,510,0,53,27,11,11,12,,
2022-08-17 22:00,506,0,53,27,10,11,12,,
2022-08-17 22:15,498,0,53,27,10,10,10,,
2022-08-17 22:30,493,0,54,27,9,9,9,,
2022-08-17 22:45,489,0,54,27,8,8,8,,
2022-08-17 23:00,479,0,54,27,7,7,7,,
2022-08-17 23:15,479,0,55,27,8,8,8,,
2022-08-17 23:30,474,0,55,27,7,7,8,,
2022-08-17 23:45,473,0,55,27,6,6,6,,
2022-08-18 0:00,471,0,55,27,6,6,6,,
2022-08-18 0:15,468,0,55,27,6,6,7,,
2022-08-18 0:30,467,0,55,27,6,6,7,,
2022-08-18 0:45,467,0,56,27,6,7,8,,
2022-08-18 1:00,466,0,56,27,6,6,6,,
2022-08-18 1:15,467,0,56,27,6,6,6,,
2022-08-18 1:30,463,0,56,27,6,7,8,,
2022-08-18 1:45,467,0,56,27,6,6,6,,
2022-08-18 2:00,460,0,56,27,7,7,8,,
2022-08-18 2:15,457,0,57,27,6,6,7,,
2022-08-18 2:30,459,0,57,27,7,7,8,,
2022-08-18 2:45,460,0,57,27,6,6,7,,
2022-08-18 3:00,463,0,57,27,7,8,9,,
2022-08-18 3:15,456,0,57,27,6,7,8,,
2022-08-18 3:30,455,0,57,27,7,7,7,,
2022-08-18 3:45,454,0,58,27,6,6,7,,
2022-08-18 4:00,449,0,58,27,6,6,7,,
2022-08-18 4:15,451,0,58,27,6,6,6,,
2022-08-18 4:30,447,0,58,27,6,6,7,,
2022-08-18 4:45,449,0,58,27,5,6,7,,
2022-08-18 5:00,448,0,58,27,6,7,8,,
2022-08-18 5:15,446,0,58,27,6,6,6,,
2022-08-18 5:30,444,0,58,27,5,6,7,,
2022-08-18 5:45,446,0,58,27,5,5,6,,
2022-08-18 6:00,445,0,59,27,5,5,5,,
2022-08-18 6:15,448,0,60,27,5,5,6,,
2022-08-18 6:30,470,0,58,26,5,6,7,,
2022-08-18 6:45,473,0,53,24,5,5,5,,
2022-08-18 7:00,471,0,51,23,6,6,6,,
2022-08-18 7:15,498,0,51,22,6,7,8,,
2022-08-18 7:30,497,0,51,22,6,7,9,,
2022-08-18 7:45,493,0,50,22,7,8,9,,
2022-08-18 8:00,522,0,50,22,7,9,11,,
2022-08-18 8:15,538,0,61,23,10,11,13,,
2022-08-18 8:30,562,0,64,24,13,14,15,,
2022-08-18 8:45,584,0,65,25,17,18,20,,
2022-08-18 9:00,629,0,65,26,19,20,23,,
2022-08-18 9:15,686,0,61,26,19,20,21,,
2022-08-18 9:30,663,1,58,26,19,21,23,,
2022-08-18 9:45,668,0,54,25,19,20,23,,
2022-08-18 10:00,717,0,51,25,17,18,19,,
2022-08-18 10:15,738,0,51,25,17,19,20,,
2022-08-18 10:30,744,0,51,25,17,17,18,,
2022-08-18 10:45,735,0,51,26,16,17,18,,
2022-08-18 11:00,762,0,51,26,16,17,18,,
2022-08-18 11:15,782,0,51,26,17,18,20,,
2022-08-18 11:30,796,0,50,26,17,17,19,,
2022-08-18 11:45,789,0,50,25,20,21,22,,
