DATETIME,CO2,VOC,HUMI,TEMP,PM1,PM25,PM10,Radon,CH2O
2022-08-17 13:15:00,397.0,0.0,45.0,26.0,10.0,11.0,13.0,,
2022-08-17 13:30:00,397.0,0.0,44.0,26.0,10.0,11.0,13.0,,
2022-08-17 13:45:00,397.0,0.0,45.0,26.0,10.0,10.0,11.0,,
2022-08-17 14:00:00,397.0,0.0,45.0,26.0,10.0,10.0,12.0,,
2022-08-17 14:15:00,397.0,0.0,45.0,26.0,10.0,10.0,11.0,,
2022-08-17 14:30:00,397.0,0.0,45.0,26.0,9.0,10.0,13.0,,
2022-08-17 14:45:00,397.0,0.0,46.0,25.0,10.0,10.0,11.0,,
2022-08-17 15:00:00,397.0,0.0,46.0,25.0,10.0,11.0,12.0,,
2022-08-17 15:15:00,397.0,0.0,48.0,25.0,11.0,12.0,13.0,,
2022-08-17 15:30:00,397.0,0.0,48.0,25.0,13.0,13.0,14.0,,
2022-08-17 15:45:00,397.0,0.0,46.0,26.0,15.0,16.0,16.0,,
2022-08-17 16:00:00,397.0,0.0,45.0,26.0,17.0,18.0,19.0,,
2022-08-17 16:15:00,397.0,0.0,44.0,26.0,20.0,21.0,22.0,,
2022-08-17 16:30:00,397.0,0.0,44.0,26.0,21.0,22.0,23.0,,
2022-08-17 16:45:00,397.0,0.0,43.0,26.0,26.0,27.0,28.0,,
2022-08-17 17:00:00,397.0,0.0,44.0,26.0,25.0,25.0,26.0,,
2022-08-17 17:15:00,397.0,0.0,43.0,26.0,25.0,25.0,27.0,,
2022-08-17 17:30:00,397.0,0.0,42.0,27.0,25.0,26.0,27.0,,
2022-08-17 17:45:00,397.0,0.0,42.0,27.0,25.0,27.0,28.0,,
2022-08-17 18:00:00,397.0,0.0,43.0,27.0,22.0,23.0,23.0,,
2022-08-17 18:15:00,397.0,0.0,43.0,28.0,21.0,21.0,22.0,,
2022-08-17 18:30:00,397.0,0.0,43.0,28.0,19.0,19.0,20.0,,
2022-08-17 18:45:00,397.0,0.0,44.0,28.0,18.0,19.0,20.0,,
2022-08-17 19:00:00,397.0,0.0,45.0,28.0,17.0,18.0,18.0,,
2022-08-17 19:15:00,397.0,0.0,45.0,28.0,17.0,17.0,18.0,,
2022-08-17 19:30:00,397.0,0.0,45.0,28.0,16.0,17.0,17.0,,
2022-08-17 19:45:00,397.0,0.0,46.0,28.0,15.0,15.0,15.0,,
2022-08-17 20:00:00,397.0,0.0,46.0,28.0,15.0,15.0,15.0,,
2022-08-17 20:15:00,397.0,0.0,46.0,28.0,15.0,15.0,15.0,,
2022-08-17 20:30:00,397.0,0.0,46.0,28.0,14.0,14.0,14.0,,
2022-08-17 20:45:00,397.0,0.0,47.0,28.0,13.0,13.0,13.0,,
2022-08-17 21:00:00,397.0,0.0,47.0,28.0,12.0,12.0,12.0,,
2022-08-17 21:15:00,397.0,0.0,47.0,28.0,12.0,13.0,13.0,,
2022-08-17 21:30:00,397.0,0.0,48.0,28.0,12.0,12.0,12.0,,
2022-08-17 21:45:00,397.0,0.0,48.0,28.0,11.0,12.0,12.0,,
2022-08-17 22:00:00,397.0,0.0,48.0,28.0,11.0,11.0,11.0,,
2022-08-17 22:15:00,397.0,0.0,48.0,28.0,10.0,11.0,11.0,,
2022-08-17 22:30:00,397.0,0.0,49.0,28.0,9.0,9.0,9.0,,
2022-08-17 22:45:00,397.0,0.0,49.0,28.0,9.0,9.0,9.0,,
